,Message,Length
5999,vmware is free,14
6000,I never had a use for em,24
6001,it comes with vmware,20
6002,get vmware install vmtools,26
6003,I barely use VMs,16
6004,no shit they run like ass then,30
6005,Dunno what that is,18
6006,do u have vmtools installed on them..,37
6007,but cant find any good ones,27
6008,Probably shitty config,22
6009,saves a lot of time,19
6010,bro then what you just pray for that to not crash,49
6011,slow asf for me even though I have good specs,45
6012,vms are ass,11
6013,I dont use vms,14
6014,to test them,12
6015,you can use a vm atleast,24
6016,a day,5
6017,atleast 5+ times,16
6018,I BSOD like,11
6019,shouldnt brick ur PC,20
6020,BSOD's,6
6021,but just alone,14
6022,It probably did something then,30
6023,ye he turned on kernel debugging,32
6024,windbg bricked my pc 🙏,22
6025,bluescreens dont brick your PC,30
6026,any one got current roblox offsets,34
6027,I dont work with drivers causes blue screens or bricking your pc too good luck I am gonna try to update the integrity check bypass,130
6028,dead code mania,15
6029,dbvm messes up the sys call and ret instructions for hyperion to detect I think,79
6030,Gogo1000 explained that well I think,36
6031,for it to be loadable,21
6032,shouldnt take alot of changes,29
6033,neither,7
6034,ill probably just edit the driver,33
6035,Dunno how to do allat,21
6036,or hijack amd/intels shitty drivers,35
6037,but then you have to load with kdmapper,39
6038,they detect signing being off,29
6039,well rather the drivers,23
6040,yea thats a better idea,23
6041,for me that never worked I tried disabling dse Driver signature enforcement,75
6042,Probably just gonna update the DBVM,35
6043,Yeah I dont use vms,19
6044,yea I think you gotta use a vm to make that work,48
6045,hyperdbg weird asf,18
6046,or atleast all x regions,24
6047,it does,7
6048,but I remeber the start of the dll doesnt have an integrity check you can write whatever you want,97
6049,taskscheduler job,17
6050,the integrity check on the .text section is handled by a job,60
6051,that might be applied from the exe then?,40
6052,I think it was,14
6053,only on .text and .rdata?,25
6054,on all sections,15
6055,I know the .exe doesnt have an integrity check,46
6056,Im not sure,11
6057,wait the entire dll doesnt have an integrity check right,56
6058,a clone that hasnt been tampered with,37
6059,from the dlls base address,26
6060,especially because everything is offsetted,42
6061,I think thats method 2 which makes a clone and redirects the integrity check,76
6062,from what I can see,19
6063,It does nothing in the .exe,27
6064,"int3's encryptpacket, encryptpacket and getearlydigests\n\nMakes a clone that hasnt been changed (of the memory)\n\nand idk exactly what method 1 does",150
6065,I have only seen him in uc so dk,32
6066,It just,7
6067,I thought you were friends with him,35
6068,I dont know him personally no,29
6069,you know 0avx right,19
6070,but were talking about AVX's bypass,35
6071,chacha and blake3 exist within .exe not dll,43
6072,or well its memory,18
6073,with the .exe,13
6074,AVX's bypass doesnt interact,28
6075,I don't reverse hyperion much focusing more on execution,56
6076,not the dll,11
6077,let me check it out,19
6078,listen I asked my friend he told me the integrity check is in the exe,69
6079,misread it then,15
6080,oh nvm,6
6081,which is a database lol,23
6082,I think u said HyperDb,22
6083,HyperDbg,8
6084,cant find it,12
6085,oh thats like a hypervisor debugger which anti malware devs use i think,71
6086,u dont need to update it,24
6087,Idk why he said,15
6088,the addresses change,20
6089,you stil ldo,12
6090,isn't method 3 the one where you dont need to update anything,61
6091,or wtv u said,13
6092,what is HyperDB,15
6093,thats gives an error I think that might be noaccess,51
6094,oh also for some reason you cant read memory where the ic is located,68
6095,int3,4
6096,it doesnt nop it,16
6097,actually nvm,12
6098,method 3 nops it,16
6099,I think 2 is better cus that creates a clone I forgot what 1 does method 3 changes the hash at runtime,102
6100,not 2,5
6101,method 1,8
6102,also I was tryna use,20
6103,its the dll not .exe,20
6104,but yeah,8
6105,he doesnt combine them he uses the size for smth else,53
6106,and then Start + Size,21
6107,+ OffsetToStartOfHyperion,25
6108,should be in the dll yea,24
6109,why would it be .text section,29
6110,I was thinking its the DLL,26
6111,Its not  is it,14
6112,.text?,6
6113,codestart = get .text virtualaddr & virtualsize then align them down to the nearest page boundary\ncodesize = align section size up to nearest multiple of page size,164
6114,SectionEndAddress - SectionStartAddress = Size,46
6115,yea in ce thats code size i think,33
6116,I think my friend found that,28
6117,the section size,16
6118,isnt that just,14
6119,I only know method for code start and size,42
6120,even I couldn't,15
6121,thats the one with creating a cloned page to redirect their integrity check,75
6122,I didnt mean Cached,19
6123,yeah I couldnt find EarlyDigests,32
6124,which method are you trying method 2 is easier I think you only need codestart and size and earlydigests,104
6125,for just hooking it,19
6126,cus youll probably be detected,30
6127,Probably better to use a DBVM either way,40
6128,EncryptPacket is easy to find,29
6129,I meant GetEarlyDigests,23
6130,actually nvm I didnt even try finding that,42
6131,CachedHashes,12
6132,I forgot what its called,24
6133,it was the other one that was needed,36
6134,was tryna find it without a sig though,38
6135,I couldnt find one func,23
6136,from their ic,13
6137,I doubt thats changing localscripts that gets you detected more like they are detecting you use write process memory,116
6138,my friend did,13
6139,the bypass is simple enough you can even make that into an external,67
6140,works too,9
6141,or use hyperdbg,15
6142,to set a BP,11
6143,then make CE's DBVM work,24
6144,if u dont wanna update AVX's integrity check bypass,51
6145,if its 0 then theres none,25
6146,= violation,11
6147,r12 + 32,8
6148,Hook the function that hyperion uses to encrypt them,52
6149,any reliable way I can see that hyperion has detected me? perhaps packets?,74
6150,some get loaded on character reset,34
6151,I dunno,7
6152,I mean probably,15
6153,so it's a select few?,21
6154,that would require you to change it before it gets loaded,57
6155,also why LocalScript,20
6156,Probably is depending on the Script,35
6157,since you don't reply in DMs perhaps you know if changing localscript's source is DTC by hyperion?\nI know solara changes corescripts but are localscripts checked?,163
6158,takes one to know one,21
6159,cuz they are retarded,21
6160,Why so many people needs the nuclear retard role,48
6161,😤,1
6162,ok now u are woman not boy,26
6163,shush woman u have no rights,28
6164,i got lovre and rondoxkay as my good boys,41
6165,tomboy,6
6166,now u gonna be my good boy😈,27
6167,fuck LGTBQ+ 500hz shit tho,26
6168,haha femboy,11
6169,i love that,11
6170,trans role,10
6171,wohoo,5
6172,watch freaky russian speedrun GPT prompt,40
6173,"hint, is not junk",17
6174,do you know what the .byfron section is,39
6175,she loves jumping on my stick,29
6176,make her femboy with no rights,30
6177,ok noob make sure to kill yourself,34
6178,afk 1sec,8
6179,but i can,9
6180,here u said that i cant answer them,35
6181,so that means i know basics,27
6182,and anti tamper,15
6183,all u know abt hyperion is that its a DLL,41
6184,best response,13
6185,that im incorrect or something,30
6186,so what u trying to say,23
6187,source trust me bro,19
6188,"ah yes, DLLs are a dunamic link that a exe can use",50
6189,Thanks,6
6190,So u can now shut,17
6191,He woulda clowned u if u didn't fix,35
6192,No u shut,9
6193,now u can shut,14
6194,lemme fix my sentence,21
6195,Not a exe file can use a dll,28
6196,U said that a dll can use a exe file,36
6197,yes u can call certain function from dll,40
6198,Is it not the other way round blud,34
6199,Dlls that can use some exe file,31
6200,read what i said after dynamic link library,43
6201,that isnt the point,19
6202,fuck no obv dlls are dynamic link libraries,43
6203,Tbh hydra n that free offset servers r full of them,51
6204,a dynamic link library that some exe file can use it and call functions from it for example,91
6205,ok mad femboy noob,18
6206,this server would be dead without skids,39
6207,20 mins of deep researches to find out what hyperion is 🥶,57
6208,u dont even know what a DLL is,30
6209,took u nearly 20 mins to reply at the easiest question,54
6210,good boy stay quiet,19
6211,beg me,6
6212,i didnt stop,12
6213,in  very pro answer,19
6214,but still working for now,25
6215,this going to get patched in next update cus of chatGPT,55
6216,to make skids stop yapping ask them basic hyperion questions and he will dodge 100% accurate,92
6217,beg me for staying quiet too,28
6218,good boy now stay quiet,23
6219,beg me and ill think maybe,26
6220,question,8
6221,reply to,8
6222,and make me femboy moderator,28
6223,btw make femboyvote,19
6224,with she/her pronounces,23
6225,no explanation = no rights and u are femboy,43
6226,"what ""bro..."" femboy nigger",27
6227,tell me where hyperion resides at,33
6228,Bro...,6
6229,so whats wroing,15
6230,i answered its anti tamper,26
6231,u said that i barely know what is hyperion,42
6232,ur basic questions,18
6233,but i know,10
6234,ok femboy,9
6235,"bytecode signing check, what a great discover",45
6236,guys freaky russian set capabilities we are doomed,50
6237,u gonna be gay,14
6238,not okay,8
6239,i jsut did,10
6240,specially when u cant answer such basic questions,49
6241,watch how u gonna be femboy,27
6242,its funny playing with you,26
6243,make her femboy,15
6244,this bitch cant stop arguing bro,32
6245,pin his msg pls,15
6246,shush woman,11
6247,"wow ur claiming that hyperion is an anti tamper, dont leak this private information else bitdancer will raid u",110
6248,so im pro,9
6249,but im correct,14
6250,ok mad noob,11
6251,❌ 🧠,3
6252,Thats indeed idiot,18
6253,anti tamper,11
6254,whole .text is junk,19
6255,"if it differs, it was modified",30
6256,all they do is comparing it to previously genereated hashes,59
6257,you barely know what hyperion is,32
6258,underaged,9
6259,mad noob,8
6260,😂 😂 😂,5
6261,Im helping you!,15
6262,what u trying to say,20
6263,did you know its undetected,27
6264,btw u should try writing to signed modules Code Caves,53
6265,just tell me that u dont know,29
6266,the most basic shit,19
6267,u just cant answer,18
6268,mad because of what,19
6269,do you even know what the .text section contains,48
6270,no answer,9
6271,easiest question,16
6272,retarded,8
6273,very based,10
6274,do yk how roblox .text section monitor works,44
6275,and setting capabilities is not basic when pixelated still didnt set them,73
6276,i know detections like when u change bytecode u get detection once it checks for original code,94
6277,setting capabilities is basic,29
6278,how can u be considered a good developer,40
6279,you are not aware of some simple detections checks roblox has placed recently,77
6280,no im pro,9
6281,you are not a good cheat developer,34
6282,who pinged me here,18
6283,im telling why im good at cheat developer since u telling me to quit,68
6284,something we agree on,21
6285,everything here is pasted and detected,38
6286,gang shii ah word word,22
6287,idrc about your pasted externals,32
6288,ur detected,11
6289,just look at api_incr_top,25
6290,can anyone tell me if this is correct?,38
6291,im also pro lua scripter for exploits,37
6292,very pro for cheat developer,28
6293,but since im pro i setted them,30
6294,many skids like pixelated and 9⁹9 (maybe pixelated is 9⁹9's alt but idk) didnt even manage to set capabilities,110
6295,"and i already managed to make internal and external exploit also a program with esp, aimbot and just walkspeed changer so i think im very pro",141
6296,ok noob who lost argument and now yapping,41
6297,hook into the task scheduler 🧠,30
6298,the export run is called after hyperion is initializd and hyperion abuses the fact that linked modules get loaded before the actual binary does,143
6299,btw hyperion is being loaded before the .exe does,49
6300,😂 😂,3
6301,no one will fed u,17
6302,btw gogo decryptor will not working anymore,43
6303,public execution would be great,31
6304,can we have skids harassed,26
6305,ur the type of exec dev that would catch the INT3 instruction at the entry point of roblox,90
6306,try reading microsoft working set explaination,46
6307,it usually gets junk data but istances are validated and invalidated,68
6308,btw did u know that when reading memory u should do it in sync,62
6309,game hacking isnt for you,25
6310,u should quit,13
6311,haha noob u lost argument and now saying dont talk to me,56
6312,stop talking to me,18
6313,idrc,4
6314,its not even that long enough,29
6315,not my problem based on what u said its been only 10 minutes,60
6316,u had to gpt the replies or what,32
6317,on god,6
6318,stupid retard no one would have sex with a russian guy,54
6319,nigga i legit was sleeping u replied after 10 mins what the fuck is wrong with you,82
6320,i won the argument!!!!,22
6321,and as u can see u went silent first,36
6322,as expected,11
6323,and seems like it gonna end now cuz u are being silent,54
6324,atleast im not a nigger like u!,31
6325,u saying gay shit while calling me good boy,43
6326,plusignat u so handsome,23
6327,Q2,2
6328,Q1,2
6329,suka kurwa amerikanski,22
6330,then i force,12
6331,specially on russian ppl,24
6332,no one would,12
6333,try before yapping,18
6334,gay shit,8
6335,my dick tastes like ice cream try it,36
6336,cant be talking,15
6337,ur white as an icecream,23
6338,and u are not,13
6339,cuz im white,12
6340,nigga wildin,12
6341,ok nigger who is yapper and gay,31
6342,we both know how it will end,28
6343,FIY dont make me ask any questions,34
6344,laughing cuz you are gay and im not,35
6345,we got two dyslexics,20
6346,hes asking for proof that hes 12,32
6347,ew,2
6348,im not gay like u,17
6349,whatever makes u sleep at night,31
6350,no point of humiliating other skids,35
6351,if id ask u some question you would go silent or make some sexist jokes,71
6352,is winning the argument too,27
6353,no proof from him,17
6354,afk means winning an argoument,30
6355,not proving anything,20
6356,he legit is silent,18
6357,u didnt g,9
6358,laughing that i won the argument?,33
6359,haha noob i won the argument!!!,31
6360,proof where nigger,18
6361,proof where,11
6362,so its not accurate,19
6363,i might rejoined,16
6364,how do u know,13
6365,i joined before u on old server,31
6366,i dont see any proof still btw,30
6367,is not true,11
6368,so ur argument,14
6369,then its not longer,19
6370,same?,5
6371,and no i've been here since old hydra server,44
6372,no proof = yapper,17
6373,prove that im 12,16
6374,too bad i already doing it,26
6375,dont even make stuff for roblox anymore,39
6376,what exactly was,16
6377,wanted to see what it was?,26
6378,i dont see any proof of ur accusation that im 12,48
6379,It lit 99%of the time,21
6380,and u moan ur gay yaps so loudly,32
6381,so u are skid,13
6382,not always look harder if u are not blind,41
6383,bro cant take a hint,20
6384,while no one likes him,22
6385,and talks in this server 24/7,29
6386,he has no life,14
6387,Every time I look at this server,32
6388,Why r u always beefing w ppl,28
6389,watch our president launching nuclear bomb on ur ukraine,56
6390,getting bombed is ukraine only,30
6391,haha,4
6392,keep getting bombed,19
6393,moan harder,11
6394,gay yap,7
6395,nobody likes u here retard,26
6396,ur 12,5
6397,or gay,6
6398,😆,1
6399,prove,5
6400,nah ur 12,9
6401,14,2
6402,speaking,8
6403,12 year old russian,19
6404,keep crying while being forced to suck my dick,46
6405,yap,3
6406,bro got some offsets from other people just to add in an already pasted cheat so people think hes cool,102
6407,you beg people to feed you retarded russian,43
6408,and legit been here longer than you,35
6409,ur pasting brain cant comprehend how to fix it,46
6410,laugh at him,12
6411,lol noob joined the server,26
6412,it will lag,11
6413,if there is alot of players,27
6414,u can literally make it not lag on external,43
6415,so go fix,9
6416,i gave the server,17
6417,ok noob make it internal then,29
6418,then make it not lag,20
6419,я пойду историю с литературой делать,36
6420,stealer download,16
6421,new stealer download,20
6422,antagonist,10
6423,какое название у него,21
6424,я вообще рандомный winverifytrust инжектор юзаю,47
6425,"дай угадаю, это щас фиксит пол сервера?",39
6426,"кинь, я чекну хук",17
6427,да,2
6428,я тебя остался сурс этого шедевросплойта,40
6429,well esp lagging cuz its external,33
6430,than this laggy ugly ass shit,29
6431,i rather fix exploits,21
6432,atleast fix it,14
6433,its skidded antagonist,22
6434,"бля, может в сурсах екстерналов покапатся",41
6435,ugly ass esp,12
6436,с аимботом и esp,16
6437,это обычный external,20
6438,че за эксплойт такой,20
6439,люблю печеньки с молочком,25
6440,в дверной проем хожу бочком,27
6441,чтобы стать большим большим качком,34
6442,колю в очко,11
6443,трамбалон,9
6444,тампон,6
6445,"как по мне, главный трабл это фонт, но кастом поставить и уже по лучше будет",76
6446,"короч если сделаю, потом скрин сюда отправлю, оценишь хуйня или сойдет",70
6447,я хз ывапнвынвыпаццк,20
6448,"че с этим сделать ща можно,   тестану, кастом фонт поставлю и посмотрим как будет",81
6449,кастомный фонт ебануть,22
6450,но это поправимо,16
6451,текст говно,11
6452,ну я хз,7
6453,ну бля,6
6454,тут ебашит,10
6455,"жалуется на функцию bind, а конкретно на 8 индекс, пробывал 13 индекс по фану поставить, но толк тот-же",103
6456,единственый трабл kiero отказывается хукать его,47
6457,щас покажу как примено выглядить будет,38
6458,вот и хочу сам посмотреть на эту херню,38
6459,глаза мне режут,15
6460,пиксели,7
6461,там 32 битный будет,19
6462,"да я бы с радостью, но хочу тестануть через imgui , говно визуалы будут или нет",79
6463,nigger use script,17
6464,im using fucking kiero,22
6465,I just almost finished writing it via imgui but I can't hook it :\,66
6466,imgui gonna lag,15
6467,script,6
6468,"what is the best way to do it, drawing library via imgui or using a script",74
6469,this did not happen to me,25
6470,is this true?,13
6471,💀 🫵,3
6472,thats smth that every1 shgould know xD,38
6473,u need to manually hook the KiDispatcher,40
6474,they dont hook memory pages anymore so the strings wont show up which means u need to go thru the manual xref of the syscall at stack ptr,137
6475,how then to search for adds?,28
6476,skull,5
6477,they removed all the strings,28
6478,that aint a joke dumbass,24
6479,cuz so u cant reverse anymore bro,33
6480,rblox removed all the strings from the client,45
6481,"same question, WHERE IS THE STRINGS",35
6482,sorry im not good at english,28
6483,yea idk what your saying,24
6484,and what this means,19
6485,translated in eng please,24
6486,that guy didnt understand what i was saying,43
6487,thats the most basic thing,26
6488,wut is wrong with that,22
6489,do you even consider urself a dev,33
6490,seriously,9
6491,wut,3
6492,it should return 0 (success),28
6493,lua vm load was returning 3 (decompression failure),51
6494,i fixed my own code,19
6495,"I'm saying, does it change anything if you corrected SOMEONE ELSE's code?",73
6496,does this change anything?,26
6497,ty but alr fixed,16
6498,inside taaprwarev3 source,25
6499,any time,8
6500,yw,2
6501,thanks for the motivation,25
6502,"got it, I'll go try",19
6503,if you're that incompetent?,27
6504,then quit making an executor?,29
6505,how can I find if I don't know anything about offset data,57
6506,and find them,13
6507,reverse roblox,14
6508,Does anyone have these offsets? : \nIdentity\nCapabilities\nDecrypt \nI'm really tired of looking for this shit,111
6509,what does it mean when lua vm load returns 3,44
6510,без понятия че за декрипт,25
6511,какой decrypt,13
6512,ну это че за блин ваще капец,28
6513,а не DecryptLuaState,20
6514,"а, это Decrypt",14
6515,а не оффсет,11
6516,и я пишу что это адрес,22
6517,не ты здесь написал что оффсет тебе нужен и ты указал 0x88 для decryptluastate,78
6518,"может он называется по-другому, хуй знает",41
6519,"я вкурсе, но я копался в слитых оффсетах и там еще есть оффсет",62
6520,и твой decryptluastate это адрес а не оффсет,44
6521,"я в эксплоатации 2 недели максимум, чувак",41
6522,Я хотя бы умею,14
6523,как тебя?))))))),16
6524,тебя с ложки все подряд кормить не будут,40
6525,I need an offset for example 0x88 (this is DecryptLuaState) and I also need scriptcontextState (this is for example 0x110),122
6526,DecryptLuaState is different,28
6527,If u found getglobalstate then u alr found the decrypt,54
6528,Bro he told u where to findnit,30
6529,"ok, I'll find it myself",23
6530,he lit told u,13
6531,spoonfeed inc,13
6532,how to get decryptLuaState?,27
6533,i made,6
6534,Takes 2 mins to check,21
6535,0x02733A20?,11
6536,is this the current video recording stopped addy?,49
6537,расисты,7
6538,расист не означает что он русский,33
6539,thank you,9
6540,Then the func with like +280 is getglobalstate and the one below is the decrypt,79
6541,Xref,4
6542,Search that,11
6543,"""Start Script"" or ""Script Start"" i don't recall which",53
6544,"так ты русский, разве не?",25
6545,"yes, definitely!",16
6546,spoonfeed me spoonfeed me!,26
6547,my brain is demolished from all the brain rot high saturated content on the internet,84
6548,its my default response mb,26
6549,"You said ""real"" like you were responding to me being sarcastic",62
6550,☠️,2
6551,I wasnt arguing against that,28
6552,uses the same version that got posted,37
6553,it uses medal,13
6554,Yeah?,5
6555,real.,5
6556,It does,7
6557,"guys, how to find decryptState & GetState?",42
6558,Deadass,7
6559,U guys r making sum fire progress,33
6560,Knew*,5
6561,I know woffle was working on it,31
6562,Me n woffle,11
6563,Who's all the devs,18
6564,Dam,3
6565,better?,7
6566,Also bonus points if you manage to add inside that circle ✅ or ❌,64
6567,Make it smaller and will look perfect,37
6568,how do you make a boot loader,29
6569,no we just have low iq,22
6570,Is this coding help or gay gifs and menu showcase?,50
6571,dont wanna be obnoxious,23
6572,fade to the right,17
6573,Glow 👍,6
6574,its finee,9
6575,i do feel the name should pop out a bit,39
6576,It had 2 more versions?,23
6577,Fair,4
6578,just learn to read LMAO,23
6579,👎,1
6580,lol this was my old one,23
6581,Make name more simple,21
6582,well I can confidently say ninovium has the best decomp of any executor atm,75
6583,I thought wave uses medal,25
6584,Even konstant is better than wave decomp i think,48
6585,than wave,9
6586,I mean at least we have a better decomp,39
6587,Wave is also electron,21
6588,Totally wave but purple,23
6589,just wasnt bothered to set it up rn,35
6590,going to use tauri in production,32
6591,nah its just electron + react,29
6592,Its wpf or you don't even know what it is?,42
6593,I'll take it tbh,16
6594,i can do that,13
6595,8/10,4
6596,images for buttons got it,25
6597,Wave but purple,15
6598,LOL NOT IOS thats funny af,26
6599,well i use to have disble and enable inside the toggle but i didnt like the way it looked,89
6600,Everything else is good,23
6601,only examples,13
6602,1. Make it smaller (font size)\n2. Change blue to red (is not ios),66
6603,gtp is not good at sizeing,26
6604,and it was more like 80 times 3,31
6605,yikes.,6
6606,and webforms,12
6607,still learning cs so yeah it helps but mostly youtube,53
6608,Then good,9
6609,it already have it,18
6610,Now add animation 😈,19
6611,10 chat gpt prompts later ^,27
6612,i got that good gaming chair,28
6613,omg im so close,15
6614,SKULL_SKELETON,14
6615,the issue is you pasted it,26
6616,help me 😠,9
6617,Why do you have such videos saved in the first place lol,56
6618,this is fire,12
6619,поооон,6
6620,ладно хватит уже за политику,28
6621,"в украине 2 типа людей, точнее одни нелюди, а другие нормальные люди",68
6622,какой же ты умный,17
6623,пусть бунт устроят тогда раз всем не нравится,45
6624,"которые не хотят нискем воевать, а хотят посто нормально жить",61
6625,люди должны проходить долгие пути через горы чтобы защитить свою жизнь и жизнь своих близких,92
6626,иди сам потом расскажешь,24
6627,как это делают с укр народом,28
6628,и на мясо,9
6629,тебя тцк запакуют,17
6630,иди сам,7
6631,чтобы тебя на мясо отправили,28
6632,и нахер мне в украину там как раз война идет,44
6633,на навсегда,11
6634,а ещё визу сша,14
6635,тогда и съеду,13
6636,денег дай,9
6637,"так сьебуй на окраину, если тебе Россия не нравится",51
6638,as i remember our president started war first,45
6639,also nuclear war might start,28
6640,its turning to north korea slowly,33
6641,and they keep blocking everything that was not created by russia,64
6642,thanks to him i have to use vpn for everything,46
6643,Cannot open include file: 'Luau/': No such file or directory,60
6644,интересно сколько уже раз верхушка народ наебала,48
6645,ну танки дай ну деньги дай дай дай дай дай,42
6646,im wondering whar does samurai fight look like,46
6647,"и некоторые люди просто не понимают, что если дело дойдет до ядерки, пострадают все",83
6648,im wondering what war look like before,38
6649,it would be much cooler,23
6650,why not just back to old times where we use sword not gun frfr,62
6651,"эта война длится уже давно, но боевые операции начались только сейчас",69
6652,its ukraine fault why russia attack them,40
6654,yes trump kind president,24
6655,"но сделает ли он это или нет, неизвестно",40
6656,wait let me research about it,29
6657,красава,7
6658,"насколько мне известно трамп наоборот хочет завершить войну, на лучших условиях",79
6659,Я только что налил себе четыре стакана содовой,46
6660,btw dyk that trump will attack russia?,38
6661,я так понимаю наш разговор окончен с теми ебанатами,51
6662,он много где уже успел обосратся,32
6663,"если человек делает тоже самое, то мы с ним поладим",51
6664,"бро, лично мне пофиг с какой страны человек, если он не начинает конфликт то и я тоже, в политику я некогда не лезу первый. я страюсь уважать каждого человека независимо с какой он страны",187
6665,the president of ukraine is a coward before the war motherfucker is already in other country,92
6666,and arent ukrain and other country thats close to ukrain russia bro,67
6667,что за бред...,14
6668,bro putin is a good president he only wants to protect his theory bro,69
6669,"вы блять оправдываете украину, но в тоже время успели ее обосрать",65
6670,про них и речи не шло,21
6671,"вот, только каким хуем тут щас вы задеваете нации и страны",58
6672,Стрелка,7
6673,"Российский, принадлежащий ghettohaxx",36
6674,факт,4
6675,Если вы не знали что Zеленский сам же свой народ истребляет,59
6676,ukraine president is shit only wants money,42
6677,nobody is ukrainian bro,23
6678,russia is the one who will get invade if they dont do that,58
6679,"оправдал страну , сам хоть понял что спизданул",46
6680,окраинцы,8
6681,🐖 🇷🇺 🐖 🇷🇺,9
6682,ебаный ты сперматозойд,22
6683,coward killed by coward,23
6684,i hope you get drafted and shot by a ukraninian,47
6685,ur super retarded,17
6686,add_sub bro..,13
6687,"я изменил ебучие VMVALUE под ""add_sub, sub_add"" и т.д.",54
6688,Awesome sauce,13
6689,it's not real life,18
6690,but it's okay,13
6691,i know you sit on it all day,28
6692,do not rage bratan it is ok it is only discord,46
6693,You dev nihon?,14
6694,ахахаахахахаха маленький у тебя в штанах,40
6695,i just do features & addresses,30
6696,vmvalues do not work like that bro,34
6697,another dev on nihon works on encs and shuffles,47
6698,you rewrote the syntax of obfuscation...?,41
6699,stop rage little bratan)),25
6700,"Encs are easy when you actually understand them, like you can update your entire Luau source in like 10 seconds",111
6701,"Бро, ты шизофреник?",19
6702,LOl,3
6703,is raging,9
6704,why is the only thing this guy is doing,39
6705,да и плюс я переписал синтаксис обфускации,42
6706,literally is,12
6707,"вам этот человек уже бы чеполаха вьебал суки ебучие, сидели бы в подвалах и не дрыгались хуйлуши",96
6708,это вообще не доказателство скиддинга,37
6709,u can literally find it everywhere,34
6710,broo thats like the easiest one to find and i dont even do encs,63
6711,Shuffles and vmvalues when 💔,28
6712,"от этой реализации я тоже отказался, и в данный момент ее не использую",70
6713,DUDE UR RETARDED,16
6714,bratre why so retard)))),24
6715,LOLL,4
6716,67 unc better than 99 unc noobik,32
6717,"данный код я уже не использую, и он был давно переписан мною",60
6718,LOL im a skid so yeah i dont crash,34
6719,embarrassing,12
6720,why don't you have 67% unc noobik?,34
6721,it tends to die after a hour or so,34
6722,and thousands of lines in each,30
6723,"ой боже блять сделал юнк 99%, делая отсос другим",48
6724,when u have a proj with like hundreds of files,46
6725,bro hacker,10
6726,ты дура конченая?,17
6727,proof:,6
6728,noobik cant do math,19
6729,67% unc < 99% unc,17
6730,did you really just say prove...,32
6731,this kid's retarded,19
6732,Neovim + TCC,12
6733,u replied to me retard LMFAO,28
6734,i dont crash lol,16
6735,gotta stay on that pasting grindset,35
6736,good ide (being vs when it doesn't freeze and crash),52
6737,man true,8
6738,докажешь?,9
6739,You retarded?,13
6740,c++ not the best for beginners but its a very good language,59
6741,Why code when you can skid,26
6742,but c++ is the king lol bc of visual studio community and best for beginner too,79
6743,if ur smarter than me,21
6744,show me where i explicitly asked your retarded ass anything,59
6745,how come you paste then,23
6746,не заметно,10
6747,"ты меня спросить, тупица",24
6748,thats what i was told anyways from rust fans,44
6749,yes i do,8
6750,а ты знаешь что такое мозг,26
6751,"for rust people either spam unsafe or they have a wrapper i think that basically makes their code look ""safe""",109
6752,i didn't ask u shit,19
6753,if you reverse roblox you would know 😭,38
6754,"ты сам меня только что спросил, конченая ты драная хуйня",56
6755,rust looks like its for heckers,31
6756,in the brain,12
6757,do you know what memory is,26
6758,we weren't asking you,21
6759,wait arent u the guy who code nihon?,36
6760,"типа, мне вообще похуй, ваши попытки как либо меня **обидеть**(po ) идут нахуй, хочу и делаю, вас это ебать не должно",117
6761,LikeReallyBro,13
6762,CantEvenWritePascalCaseWithoutGettingAWarning,45
6763,"откуда мне знать где расположен данный код, псевдо код он не читабелен",70
6764,rust has the most aids syntax i've ever written,47
6765,rust if you want speed but want to write bad looking code,57
6766,C++ imo,7
6767,whats better?,13
6768,no way,6
6769,because you dont have knowledge on roblox LOL,45
6770,)))),4
6771,bc u cant answer?,17
6772,такой вопрос тупой,18
6773,i don't favor it as better though,33
6774,rust if you like using retarded syntaxes,40
6775,in the faster category,22
6776,rust supposedly,15
6777,is there even any othe rlanguage thats better than c++ or faster,64
6778,тогда что это,13
6779,Lel,3
6780,bratan,6
6781,i dont see you having answered correctly,40
6782,he forgotted 💔,14
6783,я ответил уже,13
6784,на какой вопрос то,18
6785,did you forget,14
6786,n00b1k,6
6787,where answer to question))))),29
6788,Nice 👍,6
6789,😲,1
6790,and so does nihon 🙂,19
6791,))))))),7
6792,Why bratan cannot answering question?,37
6793,Ghettohaxx owns you and all,27
6794,my friend is coding backend,27
6795,im coding frontend,18
6796,хорошо,6
6797,for the anims,13
6798,"css, html , js",14
6799,i'm only developer actually,27
6800,no i'm not fan,14
6801,Web?,4
6802,фанаты getohaxx,15
6803,What did you use,16
6804,does it look nice for 2 hours?,30
6805,he has no knowledge on roblox,29
6806,literally shows,15
6807,answered it,11
6808,he still hasnt,14
6809,nubik,5
6810,what colour is ur mmapper,25
6811,тупые идиоты сука,17
6812,"какие же вы идиоты, подумайте через что вы прошли чтобы сделай хоть что-то в своей жизни",88
6813,🏳️‍🌈,4
6814,you fuck it??,13
6815,Wow u retarded nubik))),23
6816,pedik,5
6817,how so bad,10
6818,да я ебу что это,16
6819,xrefs,5
6820,and looking at the,18
6821,hes opening ida,15
6822,dude its kinda obvious,22
6823,Me no getting teach english,27
6824,Why take so long to type bro?,29
6825,Bro!!,5
6826,why bratan can't answer?)))),28
6827,нахуй тебе не пойти?,20
6828,speak american,14
6829,this is 'merica,15
6830,in what function is this located in,35
